rank;name;gameId;elo;country;countryCode;
1;Michael Hamilton;34331578;1980;United States of America;us;
2;Viet Pham;77629976;1903;Germany;de;
3;Christopher Iaali;49429466;1888;United States of America;us;
4;Wesley Dong;76745837;1871;United States of America;us;
5;Łukasz Szczepanowski;12924573;1858;Poland;pl;
6;Daniel Rutkowski;42767595;1850;United States of America;us;
7;Chris Brummett;55982578;1848;United States of America;us;
8;Dagan White;98661172;1848;United States of America;us;
9;Brodie Spurlock;78449312;1844;United States of America;us;
10;Matthew Foulkes;71963772;1835;United Kingdom;gb;
11;Isaak Krut;23643736;1831;Canada;ca;
12;Brian Lorenz;39697648;1829;United States of America;us;
13;Shing [Blue Pitch] Tsang;82325829;1822;Hong Kong;hk;
14;Christian Hauck;47346524;1814;Germany;de;
15;Timothy Long;19718495;1807;United States of America;us;
16;Mohamed El Fardi;82625644;1804;France;fr;
17;Fuad Omar;38131312;1804;Italy;it;
18;Tyler Horspool;77657489;1801;United States of America;us;
19;Rob Catton;96675674;1796;United Kingdom;gb;
20;Matt Rogers;8717;1788;New Zealand;nz;
21;Matthew Dilks;12332725;1780;Canada;ca;
22;Justin Wong;7337;1777;New Zealand;nz;
23;Pei-Tung Liao;92819458;1776;Taiwan;tw;
24;Francesco Giorgio;38313277;1773;United Kingdom;gb;
25;Shuo Feng;51553785;1772;United States of America;us;
26;Bartosz Ziemba;82923123;1771;Poland;pl;
27;Dennis Zhang;22442327;1769;New Zealand;nz;
28;Paul Klintworth;72972883;1766;Germany;de;
29;Tariq Patel;55364376;1764;Canada;ca;
30;Jonathan Magnuson;29247552;1760;United States of America;us;
31;Jon Ho;28422842;1760;United States of America;us;
32;James Adams;96214336;1758;United States of America;us;
33;Jacob Clements;42541471;1758;United Kingdom;gb;
34;Jonas Stoberock;58732441;1757;Germany;de;
35;Collin Kaiser;6596;1756;United States of America;us;
36;Pablo Pintor;12374294;1753;Spain;es;
37;Mateusz Sass;99196216;1751;Poland;pl;
38;Joe Colon;68592363;1750;United States of America;us;
39;Chandler To;29299428;1749;United States of America;us;
40;Steve Le;67632647;1749;United States of America;us;
41;Fred Bird;33214183;1747;Poland;pl;
42;Gabe Sher;89979887;1747;Netherlands;nl;
43;Łukasz Cichecki;31212529;1747;Poland;pl;
44;George Melissakis;37549179;1746;Greece;gr;
45;Jakub Irzyk;72681416;1746;Poland;pl;
46;Nick Butcher;51987736;1745;Australia;au;
47;Piotr Krzempek;63849848;1744;Poland;pl;
48;Martin Hechtberger;25768775;1743;Austria;at;
49;Freddy Friedrich;62616413;1740;Germany;de;
50;Joshua Lau;64912678;1739;United States of America;us;
51;Allen [Blue Pitch] Lau;25688385;1739;Hong Kong;hk;
52;Joel Repta;91357495;1738;Canada;ca;
53;Thanthawat Chujitngamsuwong;97152172;1738;Thailand;th;
54;Ilias Karamanis;58434939;1734;Germany;de;
55;Yuki Lee Bender;22253482;1733;Canada;ca;
56;Yorgos Samaras;29352359;1732;Greece;gr;
57;Jacob Hand;51223991;1732;United Kingdom;gb;
58;Nathan Dollman;61564935;1731;United States of America;us;
59;Jacob Shaker;34642783;1731;United States of America;us;
60;Michael Dalton;71722762;1730;United States of America;us;
61;Hrvoje Hedžet;87762967;1729;Croatia;hr;
62;Alexander Vore;53486363;1729;United States of America;us;
63;Алексей 🎰☕️ Иванович;23171375;1728;Germany;de;
64;Andrew Rothermel;48922766;1724;United States of America;us;
65;Gregory Patellis;12959859;1724;Portugal;pt;
66;Reeve Chia;61688869;1723;Singapore;sg;
67;Ethan Van Sant;49991568;1723;United States of America;us;
68;Ryan Rich;61268882;1723;United States of America;us;
69;Adrián Ruiz Yague;58689747;1721;Spain;es;
70;Zachary Wallach;95989628;1721;United States of America;us;
71;Przemyslaw Staniszewski;25395788;1721;Poland;pl;
72;Maciej Janik;96524117;1720;Poland;pl;
73;Glenn Van Roey;81359118;1718;Belgium;be;
74;Wojtek Klimczyk;74215342;1716;Poland;pl;
75;Charles Dunn;96665649;1715;United States of America;us;
76;Dan Groseclose;35875295;1712;United States of America;us;
77;Craig Pollack;46981763;1712;United States of America;us;
78;Dante Delfico;16612399;1712;Canada;ca;
79;Immanuel Gerschenson;89215564;1712;Austria;at;
80;Spencer Freeman;74755923;1712;United States of America;us;
81;Michael Jaszczur;41361832;1709;Canada;ca;
82;Max Dieckmann;62329447;1708;Spain;es;
83;Jenson Wilhelm;38666829;1708;United States of America;us;
84;Matthew W;36217316;1707;United States of America;us;
85;Jesse Kennon;72852145;1707;United States of America;us;
86;Peter Ward;53813497;1707;United Kingdom;gb;
87;Didier Deurloo;23145218;1705;Netherlands;nl;
88;Isaac Lee;92164555;1705;Australia;au;
89;Yongji Yang;67357264;1705;United States of America;us;
90;Mário Abrantes;59487543;1704;Portugal;pt;
91;Marko Zutic;96792341;1703;New Zealand;nz;
92;Sebastian Spicher;73696351;1703;Switzerland;ch;
93;nathan lapham;71693458;1702;United States of America;us;
94;Jeromy Tsai;39416575;1702;United States of America;us;
95;Andrew Lorenz;71357474;1701;United States of America;us;
96;Donovan van Beek;93648569;1700;Netherlands;nl;
97;Matthew Vore;76857882;1700;United States of America;us;
98;Bun Ar;79174636;1700;Hong Kong;hk;
99;Lucas Oswald;73894792;1699;United States of America;us;
100;Eli Brawerman;78954937;1698;United States of America;us;
101;Patrick Requejo;32499241;1698;United States of America;us;
102;Cayle Mccreath;1943;1696;New Zealand;nz;
103;Tomasz Żelazko;48144483;1696;Poland;pl;
104;Michael Walker;13294416;1694;Canada;ca;
105;Jordan Nelle;33745195;1694;United States of America;us;
106;Corey Baker;35567312;1694;United States of America;us;
107;Naib Mobassir;25857792;1693;United States of America;us;
108;Nathan Crawford;95593898;1692;United States of America;us;
109;Pheano Black;59957253;1691;United States of America;us;
110;Easton Douglas;52945497;1691;United States of America;us;
111;Hayden Dale;7666;1690;Australia;au;
112;Kristian Čurla;45478211;1690;Croatia;hr;
113;Isaac Jessen;86326564;1689;United States of America;us;
114;Maximilian Klein;23337859;1688;Germany;de;
115;Patrick Weiss;12657916;1687;United States of America;us;
116;Thomas Bailey Galbraith;1426;1687;New Zealand;nz;
117;Richard Anthony "Kampai" Bustamante;73692745;1686;Philippines;ph;
118;Michael Caronchia;23355289;1685;Canada;ca;
119;Oliver Berry;78453332;1685;New Zealand;nz;
120;Shawn Dhaliwal;69775991;1685;Canada;ca;
121;Leigh Fletcher;86583217;1684;Australia;au;
122;Bryan Knecht;55254252;1683;United States of America;us;
123;Gordon Koh [Gone(FKD)];59753974;1683;Singapore;sg;
124;Daniyar Saduakassov;46156812;1682;Poland;pl;
125;Mikko Airaksinen;65537134;1681;Finland;fi;
126;Ian Zhang;75916243;1681;Netherlands;nl;
127;David Yau;16845179;1681;Hong Kong;hk;
128;Marshal Meador;37651677;1681;United States of America;us;
129;Kelvin Law;67496757;1680;Hong Kong;hk;
130;Nick Gabler;48682912;1680;United States of America;us;
131;Kim Barroso;64464679;1680;France;fr;
132;Chu Heng Eng [Gone(FKD)];48899492;1679;Singapore;sg;
133;Luke Fletcher;5277;1678;Australia;au;
134;Roger Bodee;87757911;1678;United States of America;us;
135;Kanaris Bounas;18348696;1677;Greece;gr;
136;Andrew Padlesky;26162391;1677;Canada;ca;
137;Tobias Lind;81532369;1677;Sweden;se;
138;Levi Rauch;38921628;1677;United States of America;us;
139;Noah Beygelman;56952555;1675;United States of America;us;
140;Sergio Sanz Guerrero;55195433;1672;Spain;es;
141;Joshua Bausch;76869379;1672;Germany;de;
142;Ralph Schlauri;69118899;1672;Switzerland;ch;
143;Niklas Bengtsson;76713961;1671;Sweden;se;
144;Jeffrey White;72524988;1670;United States of America;us;
145;Jorge Moreno;88914982;1670;Spain;es;
146;--_--James Cæruleus Silver;17637648;1670;United States of America;us;
147;Night Sixteen;33969747;1669;Taiwan;tw;
148;Amelia Hulin-Bobart;48954357;1669;Australia;au;
149;Pankaj Bhojwani;73489619;1669;United States of America;us;
150;Marco Ng;31673118;1669;Singapore;sg;
151;Oscar Kruse;38395394;1668;Norway;no;
152;Lee Ming-Han;17126988;1668;Taiwan;tw;
153;Shin Inoue;78166144;1668;United States of America;us;
154;Rob Cygul;75789839;1668;United States of America;us;
155;William Harrison;75781937;1668;United States of America;us;
156;Jeremy Stowe;57847935;1667;United States of America;us;
157;Plamen Marekov;23532868;1666;Bulgaria;bg;
158;Rafael Boog;79125773;1666;Switzerland;ch;
159;Edward Knight;25132425;1665;United States of America;us;
160;Aneil Seetharam;34323356;1665;United States of America;us;
161;Armin Soleimanpor;77163368;1664;Sweden;se;
162;Alvaro Francisco Toledano Benito;64982125;1664;Spain;es;
163;Jake Ausdemore;76337925;1664;United States of America;us;
164;Pudding [Blue Pitch] Tam;31914943;1664;Hong Kong;hk;
165;Christian Weißling;25438597;1663;Germany;de;
166;George Rodger;18546692;1663;United Kingdom;gb;
167;Grzegorz Kowalski;32152382;1663;Poland;pl;
168;Menion Croll;25531921;1663;United States of America;us;
169;Alan Chavarin;65913575;1662;United States of America;us;
170;Elijah Calub;65543274;1662;United States of America;us;
171;Thomas Harle;89773553;1662;United Kingdom;gb;
172;Ignacio Riego;52593549;1662;Chile;cl;
173;Alex Hon;61166994;1661;United States of America;us;
174;Ray lam;93191888;1661;Hong Kong;hk;
175;Peter Buddensiek;61767867;1661;United States of America;us;
176;Mark Johnson;23894321;1660;United States of America;us;
177;Etienne Duruy;89189443;1659;France;fr;
178;Marcel Harz;94296131;1659;Germany;de;
179;Rose smyth;36284827;1658;United States of America;us;
180;Tomasz Domagalski;82166117;1657;Poland;pl;
181;Adam Fiffles;24655356;1657;United States of America;us;
182;Noah Clark;37235158;1657;Canada;ca;
183;Keith Ang [Gone(FKD)];82762219;1656;Singapore;sg;
184;Jonathan Sixto;51164999;1656;United States of America;us;
185;DYLAN MANGINI;13629363;1656;United States of America;us;
186;Long Dao;34799151;1656;Austria;at;
187;Tee Thebeau;97894393;1656;United States of America;us;
188;Luo Sheng-Xun;85226534;1656;Taiwan;tw;
189;Sean Knowelden;59467877;1655;United Kingdom;gb;
190;Max Thomas;72321361;1655;United States of America;us;
191;Li-hong Yeh;84377192;1655;Taiwan;tw;
192;Kevin Zänker;37818356;1655;Germany;de;
193;Sasha Markovic;0626;1655;New Zealand;nz;
194;Kai Yang [Gone(FKD)];24839593;1654;Singapore;sg;
195;Guillem Las Heras Aixandri;25893731;1654;Spain;es;
196;Adrienne Morales;11621313;1653;New Zealand;nz;
197;(TWS) CYK Lionel;26355256;1653;Taiwan;tw;
198;Justin Salmon;46936762;1653;United States of America;us;
199;Sebastiaan Knetsch;41674438;1652;Netherlands;nl;
200;Cosmo Hahn;66621694;1652;Germany;de;
201;Pierre Canali;11877216;1652;France;fr;
202;Antonio Otero;29918155;1652;United States of America;us;
203;Lorenzo Brambilla Pisoni;45953664;1651;Italy;it;
204;Giovanni Scuderi;99212261;1651;United States of America;us;
205;Mauro Giuseppe Di Lauro;52717739;1651;Italy;it;
206;Ferran Riu;41338276;1651;Spain;es;
207;Daniel Ooi;75849456;1650;Singapore;sg;
208;Man Hiem Cheung;77144478;1650;Netherlands;nl;
209;Nathan Fortin;62823362;1650;Canada;ca;
210;Anthony Bugoci;82239831;1650;United States of America;us;
211;Haik Voskerchian;76171397;1650;United States of America;us;
212;Jerome Bastogne;63415792;1650;Belgium;be;
213;Adam Urban;31499131;1650;Poland;pl;
214;Peter Markovič;34849638;1649;Slovakia;sk;
215;Matthew Duggan;25445494;1649;United Kingdom;gb;
216;Christopher Bizau;46617853;1647;Germany;de;
217;Juha Saarnilampi;18849332;1647;Finland;fi;
218;Trenton McBride;67233161;1647;United States of America;us;
219;Zach Bunn;38293391;1646;United States of America;us;
220;nicolas Jamoulle;36811439;1646;Canada;ca;
221;Matt Kohls;33466896;1646;United States of America;us;
222;Peter Nielsen;74442214;1645;Denmark;dk;
223;Jackson Bruening;61729178;1645;United States of America;us;
224;Philip Parker;65492246;1644;United States of America;us;
225;Jimmy Nguyen;37919264;1644;Netherlands;nl;
226;Daniel Correas;32184172;1644;Spain;es;
227;Mark Morrison;13845158;1643;United States of America;us;
228;Majin Bae;86168764;1643;United States of America;us;
229;Floris van Asch;89884174;1642;Belgium;be;
230;Sebastian Grøndal;37223951;1642;Denmark;dk;
231;Federico Chiarel;46521923;1642;Italy;it;
232;Francisc Loghin;23732463;1641;Austria;at;
233;Thomas Huynh;71388629;1641;United States of America;us;
234;Ian Smith;26644983;1641;Canada;ca;
235;Ryan Baker;59467933;1640;United States of America;us;
236;Alex Forndran;84534291;1640;Australia;au;
237;Danni Andersen;88966951;1639;Denmark;dk;
238;Ryan Youngquist;86837241;1639;United States of America;us;
239;Viliam Kubik;96614538;1639;Slovakia;sk;
240;Randall Suliga;98447483;1639;United States of America;us;
241;David Andrews;36171955;1639;United States of America;us;
242;Jonas Benzarti;33193648;1639;Denmark;dk;
243;Sam Dando;14163634;1638;United States of America;us;
244;Philip van Donselaar;48821756;1638;Netherlands;nl;
245;David Marshall;62924745;1637;New Zealand;nz;
246;Jacob Baugh;42383614;1637;United States of America;us;
247;john jaurigue;7642;1637;New Zealand;nz;
248;Bryan Kong [Gone(FKD)];77422282;1636;Singapore;sg;
249;Scott "HowlingMines" Mines;75669387;1636;United Kingdom;gb;
250;Quinn Wongkew;64682265;1636;United States of America;us;
251;Samuele Costantini;94712579;1636;Italy;it;
252;Alex Chițu;52582252;1636;United Kingdom;gb;
253;Shahmir Samee;35844257;1636;United Kingdom;gb;
254;Eric Dauernnheim;17291281;1635;United States of America;us;
255;Aaron Curtis;31935517;1635;New Zealand;nz;
256;Limbo _CFP;56833717;1635;Taiwan;tw;
257;Brendan Patrick;8764;1634;United States of America;us;
258;Jason Zhang;92785572;1634;Thailand;th;
259;Timothy Bunn;17347726;1634;United States of America;us;
260;Wang Chung Chi;81172279;1634;Taiwan;tw;
261;Sam Yuen;23619742;1633;United States of America;us;
262;Yongzhao Zhang;73185246;1633;Taiwan;tw;
263;Jose “Betrayer” Lau;29974741;1633;Singapore;sg;
264;Peyton laufenberg;77661134;1633;United States of America;us;
265;Kieran Carnegie;37228397;1633;New Zealand;nz;
266;Fahad Safa;41858829;1633;Australia;au;
267;Chris Waugh;83133561;1632;United States of America;us;
268;Bartosz Jankowski;36523562;1632;Poland;pl;
269;Zayne Johnson;68823878;1632;United States of America;us;
270;Daniel Dreisziger;41745352;1632;Canada;ca;
271;Michael Lau;99168843;1631;United States of America;us;
272;Jack Palen;26647865;1631;United States of America;us;
273;Galaxy Yang;36989938;1631;Hong Kong;hk;
274;Justin Evans;52784172;1630;United States of America;us;
275;Keenan Humphrey;77253686;1630;United States of America;us;
276;Lucas Birch;84762427;1630;United States of America;us;
277;Preepong Samalee;66839523;1630;Germany;de;
278;tim Lin;43684877;1630;Taiwan;tw;
279;Rohan Khanna;8462;1630;New Zealand;nz;
280;yenwei Wang;32114598;1630;Taiwan;tw;
281;darren cooper;21988582;1629;United Kingdom;gb;
282;Kaiser [Blue Pitch] Wong;17829487;1629;Hong Kong;hk;
283;Paul Mirande;13142166;1629;France;fr;
284;Brishen Jaimes;38563157;1629;United States of America;us;
285;Archer Taylor;55196431;1629;United States of America;us;
286;Liam Canning;94726641;1629;United Kingdom;gb;
287;Janbert Dela Cruz;39228951;1628;Philippines;ph;
288;Shane Martin;95655265;1628;United States of America;us;
289;Kenneth Thomas;43496341;1627;United States of America;us;
290;Jeffrey Wiscovitch;55811618;1627;United States of America;us;
291;Vincent Krekeler;49686781;1627;United States of America;us;
292;Rafaelo "Ruffy" Sarmiento;73134177;1627;Austria;at;
293;Adam Little;3595;1626;New Zealand;nz;
294;Kasharn Rao;5245;1626;New Zealand;nz;
295;Travis Bowling;55586516;1626;United States of America;us;
